school_number,school_name,high_school,middle_school,elementary_school
7691,21st Century Cyber CS,1,0,0
5273,A W Beattie Career Center,1,0,0
5091,Abington Heights HS,1,0,0
6839,Abington Heights MS,0,1,0
7570,Clarks Summit El Sch,0,0,1
2407,Newton-Ransom Sch,0,0,1
6398,South Abington Sch,0,0,1
2402,Waverly Sch,0,0,1
3242,Abington MS,0,1,0
3241,Abington SHS,1,0,0
7707,Copper Beech Sch,0,0,1
3229,Highland Sch,0,0,1
5075,McKinley Sch,0,0,1
3232,Overlook Sch,0,0,1
3234,Roslyn Sch,0,0,1
3226,Rydal El Sch,0,0,1
4910,Willow Hill Sch,0,0,1
7824,Achievement House CS,1,0,0
7825,Ad Prima CS,1,0,0
8471,Adams County Technical Institute,0,0,1
6661,Admiral Peary AVTS,0,0,1
7858,Agora Cyber CS,1,0,0
8364,A L Wilson El Sch,0,0,1
6001,Albert Gallatin Area SHS,1,0,0
7607,Albert Gallatin North MS,0,1,0
7608,Albert Gallatin South MS,0,1,0
4922,Friendship Hill El Sch,0,0,1
2129,George J Plava El Sch,0,0,1
6002,Masontown El Sch,0,0,1
4921,Smithfield El Sch,0,0,1
8085,Aliquippa El Sch,0,0,1
8086,Aliquippa JSHS,1,0,0
0,Allegheny IU 3,0,0,1
5296,Acmetonia El Sch,0,0,1
29,Springdale JSHS,1,0,0
7467,Allegheny-Clarion Valley Elem,0,0,1
4664,Allegheny-Clarion Valley HS,1,0,0
8484,Brigadier General Anna Mae Hays El Sch,0,0,1
8412,Building 21 Allentown,0,0,1
2790,Central El Sch,0,0,1
2792,Francis D Raub MS,0,1,0
2791,Harrison-Morton MS,0,1,0
2768,Hiram W Dodd El Sch,0,0,1
8413,Jackson Early Childhood Center,1,0,0
2774,Jefferson El Sch,0,0,1
2775,Lehigh Parkway El Sch,0,0,1
2795,Louis E Dieruff HS,1,0,0
8140,Luis A. Ramos El Sch,0,0,1
2779,Mosser El Sch,0,0,1
2780,Muhlenberg El Sch,0,0,1
2781,Ritter El Sch,0,0,1
2782,Roosevelt El Sch,0,0,1
6448,Sheridan El Sch,0,0,1
2793,South Mountain MS,0,1,0
4929,Trexler MS,0,1,0
2785,Union Terrace El Sch,0,0,1
2786,Washington El Sch,0,0,1
2794,William Allen HS,1,0,0
7543,Alliance for Progress CS,1,0,0
913,Altoona Area HS,1,0,0
7986,Altoona Area Jr HS,1,0,0
891,Baker El Sch,0,0,1
908,Irving El Sch,0,0,1
895,Juniata El Sch,0,0,1
930,Juniata Gap El Sch,0,0,1
7425,Kimmel Alternative School,0,0,1
933,Logan El Sch,0,0,1
7199,Mowrie A Ebner El Sch,0,0,1
8280,Penn-Lincoln El Sch,0,0,1
902,Pleasant Valley El Sch,0,0,1
6555,Ambridge Area HS,1,0,0
633,Ambridge Area MS,0,1,0
629,Economy El Sch,0,0,1
661,Highland El Sch,0,0,1
632,State Street El Sch,0,0,1
2725,Annville Cleona HS,1,0,0
2724,Annville El Sch,0,0,1
8178,Annville-Cleona MS,0,1,0
2723,Cleona El Sch,0,0,1
820,Antietam MS/HS,1,1,0
5205,Mt Penn El Sch,0,0,1
8482,Mt Penn Primary Ctr,0,0,1
8031,Antonia Pantoja Community CS,1,0,0
7787,Apollo-Ridge Elem Sch,0,0,1
2320,Apollo-Ridge HS,1,0,0
6570,Apollo-Ridge MS,0,1,0
0,Appalachia IU 8,0,0,1
0,ARIN IU 28,0,0,1
8342,Armstrong JSHS,1,0,0
569,Dayton El Sch,0,0,1
6574,Elderton El Sch,0,0,1
5002,Lenape El Sch,0,0,1
6577,Shannock Valley El Sch,0,0,1
7896,West Hills Intermediate Sch,0,0,1
7895,West Hills Primary Sch,0,0,1
7640,West Shamokin JSHS,1,0,0
8214,Arts Academy CS,1,0,0
8336,Arts Academy Elementary CS,1,0,0
8148,ASPIRA Bilingual Cyber CS,1,0,0
958,Athens Area HS,1,0,0
4918,Audrielle Lynch-Ellen Bustin El Sch,0,0,1
8220,Harlan Rowe MS,0,1,0
8219,SRU El Sch,0,0,1
6221,Austin Area El Sch,0,0,1
6222,Austin Area JSHS,1,0,0
4165,Avella Area JSHS,1,0,0
7098,Avella El Center,1,0,0
7721,Avon Grove CS,1,0,0
1367,Avon Grove HS,1,0,0
1365,Avon Grove Intrmd Sch,0,0,1
5216,Fred S Engle MS,0,1,0
7323,Penn London El Sch,0,0,1
34,Avonworth El Sch,0,0,1
5199,Avonworth HS,1,0,0
7669,Avonworth MS,0,1,0
8320,Avonworth Primary Center,1,0,0
8211,Baden Academy CS,1,0,0
1335,Bald Eagle Area JSHS,1,0,0
1333,Howard El Sch,0,0,1
1334,Mountaintop Area El Sch,0,0,1
1331,Port Matilda El Sch,0,0,1
1330,Wingate El Sch,0,0,1
50,Baldwin SHS,1,0,0
6787,J.E. Harrison Education Ctr,0,0,1
37,McAnnulty El Sch,0,0,1
48,Whitehall El Sch,0,0,1
3434,Bangor Area HS,1,0,0
5257,Bangor Area MS,0,1,0
8450,DeFranco El Sch,0,0,1
8449,Five Points El Sch,0,0,1
3430,Washington El Sch,0,0,1
7827,Bear Creek Community CS,1,0,0
7386,Beaver Area MS,0,1,0
640,Beaver Area SHS,1,0,0
8065,College Square El Sch,0,0,1
7823,Dutch Ridge El Sch,0,0,1
6985,Beaver County CTC,0,0,1
0,Beaver Valley IU 27,0,0,1
7545,Bedford El Sch,0,0,1
7021,Bedford MS,0,1,0
726,Bedford SHS,1,0,0
7096,Bedford County Technical Center,1,0,0
4930,Belle Vernon Area HS,1,0,0
8269,Belle Vernon Area MS,0,1,0
4328,Marion El Sch,0,0,1
4325,Rostraver El Sch,0,0,1
1343,Bellefonte Area HS,1,0,0
1342,Bellefonte Area MS,0,1,0
1341,Bellefonte El Sch,0,0,1
1339,Benner El Sch,0,0,1
1340,Marion-Walker El Sch,0,0,1
6229,Pleasant Gap El Sch,0,0,1
7144,Bellwood Antis MS,0,1,0
917,Bellwood-Antis HS,1,0,0
914,Lewis M Myers El Sch,0,0,1
7750,Belmont CS,1,0,0
5211,Belmont Hills El Sch,0,0,1
4675,Benjamin Rush El Sch,0,0,1
5116,Bensalem Twp HS,1,0,0
6451,Cecelia Snyder MS,0,1,0
1006,Cornwells El Sch,0,0,1
7030,Robert K Shafer MS,0,1,0
6896,Russell C Struble El Sch,0,0,1
1008,Samuel K Faust El Sch,0,0,1
6788,Valley El Sch,0,0,1
1594,Appleman El Sch,0,0,1
8434,Benton Area HS,1,0,0
8433,Benton Area MS,0,1,0
7987,Bentworth El Ctr,0,0,1
7988,Bentworth MS,0,1,0
4188,Bentworth SHS,1,0,0
0,Berks County IU 14,0,0,1
6304,Berks CTC-East Campus,0,0,1
7068,Berks CTC-West Campus,0,0,1
6206,Berlin Brothersvalley El Sch,0,0,1
7645,Berlin Brothersvalley MS,0,1,0
6207,Berlin Brothersvalley SHS,1,0,0
7302,Bermudian Springs El Sch,0,0,1
3,Bermudian Springs HS,1,0,0
6921,Bermudian Springs MS,0,1,0
1605,Berwick Area HS,1,0,0
6808,Berwick Area MS,0,1,0
6349,Nescopeck El Sch,0,0,1
1597,Salem El Sch,0,0,1
8378,West Berwick El Sch,0,0,1
4802,Abraham Lincoln El Sch,0,0,1
7326,Benjamin Franklin El Sch,0,0,1
55,Bethel Memorial El Sch,0,0,1
62,Bethel Park HS,1,0,0
4902,George Washington El Sch,0,0,1
61,Independence MS,0,1,0
7327,Neil Armstrong 5-6 MS,0,1,0
60,William Penn El Sch,0,0,1
5063,Asa Packer El Sch,0,0,1
3464,Broughal MS,0,1,0
3436,Calypso El Sch,0,0,1
3453,Clearview El Sch,0,0,1
6722,Donegan El Sch,0,0,1
4956,East Hills MS,0,1,0
3456,Farmersville El Sch,0,0,1
6723,Fountain Hill El Sch,0,0,1
4957,Freedom HS,1,0,0
3458,Freemansburg El Sch,0,0,1
3449,Governor Wolf El Sch,0,0,1
3459,Hanover El Sch,0,0,1
3442,James Buchanan El Sch,0,0,1
3465,Liberty HS,1,0,0
3443,Lincoln El Sch,0,0,1
3454,Marvine El Sch,0,0,1
3455,Miller Heights El Sch,0,0,1
3463,Nitschmann MS,0,1,0
3462,Northeast MS,0,1,0
3452,Spring Garden El Sch,0,0,1
6633,Thomas Jefferson El Sch,0,0,1
6634,William Penn El Sch,0,0,1
5286,Bethlehem AVTS,0,0,1
6975,Bethlehem-Center El Sch,1,0,0
5267,Bethlehem-Center MS,1,1,0
4181,Bethlehem-Center SHS,1,0,0
649,Beaver Falls Area SHS,1,0,0
648,Beaver Falls MS,0,1,0
650,Big Beaver El Sch,0,0,1
642,Central El Sch,0,0,1
1677,Big Spring HS,1,0,0
6326,Big Spring MS,0,1,0
7951,Mount Rock Elem Sch,0,0,1
1676,Newville El Sch,0,0,1
7355,Oak Flat El Sch,0,0,1
6707,Blackhawk HS,1,0,0
8476,Blackhawk Intermediate Sch,0,0,1
6558,Highland MS,0,1,0
6560,Patterson Primary Sch,0,0,1
6828,Blacklick Valley El Ctr,0,0,1
5135,Blacklick Valley JSHS,1,0,0
0,BLaST IU 17,0,0,1
1610,Beaver-Main El Sch,0,0,1
1612,Bloomsburg Area HS,1,0,0
1611,Bloomsburg Area MS,0,1,0
1606,Memorial El Sch,0,0,1
1608,W W Evans Memorial El Sch,0,0,1
4659,Blue Mountain El East Sch,0,0,1
3891,Blue Mountain HS,1,0,0
5263,Blue Mountain MS,0,1,0
8505,Elementary West,0,0,1
6891,Blue Ridge El Sch,0,0,1
4034,Blue Ridge HS,1,0,0
7400,Blue Ridge MS,0,1,0
8145,Bluford CS,1,0,0
6804,Boyertown Area MS-East,0,1,0
6305,Boyertown Area MS-West,0,1,0
6306,Boyertown Area SHS,1,0,0
6307,Boyertown El Sch,0,0,1
762,Colebrookdale El Sch,0,0,1
763,Earl El Sch,0,0,1
754,Gilbertsville El Sch,0,0,1
755,New Hanover-Upper Frederick El,0,0,1
766,Washington El Sch,0,0,1
7981,Boys Latin of Philadelphia CS,1,0,0
4691,Bradford Area HS,1,0,0
3092,Floyd C Fretz MS,0,1,0
7037,George Blaisdell El Sch,0,0,1
7281,School Street El Sch,0,0,1
768,Brandywine Heights El Sch,0,0,1
6308,Brandywine Heights HS,1,0,0
8383,Brandywine Heights Intrmd/MS,0,1,0
7342,Brentwood MS,0,1,0
70,Brentwood SHS,1,0,0
69,Elroy Avenue El Sch,0,0,1
68,Moore Sch,0,0,1
1014,Bristol HS,1,0,0
7743,Bristol MS,0,1,0
1013,Warren Snyder-John Girotti El Sch,0,0,1
1027,Benjamin Franklin MS,0,1,0
8368,Brookwood El Sch,0,0,1
8369,Keystone El Sch,0,0,1
8367,Mill Creek El Sch,0,0,1
8407,Neil A Armstrong MS,0,1,0
1029,Truman SHS,1,0,0
5148,Brockway Area Elementary Sch,0,0,1
2362,Brockway Area JSHS,1,0,0
6162,Brookville JSHS,1,0,0
5231,Hickory Grove El Sch,0,0,1
6163,Northside El Sch,0,0,1
2368,Pinecreek El Sch,0,0,1
8384,Brownsville Area El Sch,0,0,1
4818,Brownsville Area HS,1,0,0
2154,Brownsville Area MS,0,1,0
0,Bucks County IU 22,0,0,1
7670,Bucks County Montessori CS,1,0,0
1030,Bucks County Technical High School,0,0,1
7477,Burgettstown El Ctr,0,0,1
4195,Burgettstown MS/HS,1,1,0
4333,Bon Air El Sch,0,0,1
4340,Burrell HS,1,0,0
4339,Charles A Huston MS,0,1,0
4336,Stewart El Sch,0,0,1
8494,Broad Street El Sch,0,0,1
6690,Butler Area IHS,1,0,0
8344,Butler Area SHS,1,0,0
1148,Center Twp Sch,1,0,0
1150,Connoquenessing El Sch,0,0,1
1134,Emily Brittain El Sch,0,0,1
1138,Mcquistion El Sch,0,0,1
1142,Northwest El Sch,0,0,1
1184,Summit El Sch,0,0,1
6999,Butler County AVTS,0,0,1
8497,California Academy of Learning CS,1,0,0
7221,California Area El Sch,0,0,1
6939,California Area MS,0,1,0
4203,California Area SHS,1,0,0
7347,Cambria Heights El Sch,0,0,1
1199,Cambria Heights MS,0,1,0
5212,Cambria Heights SHS,1,0,0
1299,Cameron County JSHS,1,0,0
1298,Woodland El Sch,0,0,1
7509,Camp Hill MS,0,1,0
1682,Camp Hill SHS,1,0,0
1678,Eisenhower El Sch,0,0,1
1680,Hoover El Sch,0,0,1
4211,Borland Manor El Sch,0,0,1
4217,Canon-McMillan SHS,1,0,0
7217,Canonsburg MS,0,1,0
7216,Cecil Intrmd Sch,0,0,1
4938,Hills-Hendersonville El Sch,0,0,1
8397,Muse El Sch,0,0,1
7764,North Strabane Intrmd Sch,0,0,1
4937,South Central El,0,0,1
4214,Wylandville El Sch,0,0,1
5303,Canton Area El Sch,0,0,1
988,Canton JSHS,1,0,0
0,Capital Area IU 15,0,0,1
8278,Capital Area School for the Arts CS,1,0,0
4870,Carbon Career & Technical Institute,0,0,1
2420,Carbondale Area JSHS,1,0,0
7457,Carbondale El Sch,0,0,1
0,Carbon-Lehigh IU 21,0,0,1
5109,Career Institute of Technology,0,0,1
1692,Bellaire El Sch,0,0,1
1694,Carlisle Area HS,1,0,0
1689,Crestview El Sch,0,0,1
1691,Hamilton El Sch,0,0,1
7011,Lamberton MS,0,1,0
1683,Letort El Sch,0,0,1
1690,Mooreland El Sch,0,0,1
1686,Mt Holly Springs El Sch,0,0,1
1687,North Dickinson El Sch,0,0,1
7010,Wilson MS,0,1,0
79,Carlynton JSHS,1,0,0
77,Carnegie El Sch,0,0,1
78,Crafton El Sch,0,0,1
7315,Carmichaels Area El Ctr,0,0,1
7112,Carmichaels Area HS,1,0,0
8345,Carmichaels Area MS,0,1,0
8472,Catalyst Academy CS,1,0,0
2797,Catasauqua MS,0,1,0
2798,Catasauqua SHS,1,0,0
6593,Francis H Sheckler El Sch,0,0,1
8222,Davis El Sch,0,0,1
7271,Klinger MS,0,1,0
7274,Log College MS,0,1,0
5007,McDonald El Sch,0,0,1
1040,William Tennent HS,1,0,0
8200,Willow Dale El Sch,0,0,1
7726,Center for Student Lrng CS Pennsbury,1,0,0
4683,Barclay El Sch,0,0,1
7796,Bridge Valley El Sch,0,0,1
1044,Buckingham El Sch,0,0,1
1081,Butler El Sch,0,0,1
5133,Central Bucks HS-East,1,0,0
7790,Central Bucks HS-South,1,0,0
1043,Central Bucks HS-West,1,0,0
7435,Cold Spring El Sch,0,0,1
4852,Doyle El Sch,0,0,1
1048,Gayman El Sch,0,0,1
7653,Groveland El Sch,0,0,1
5307,Holicong MS,0,1,0
7520,Jamison El Sch,0,0,1
1047,Kutz El Sch,0,0,1
1041,Lenape MS,0,1,0
1057,Linden El Sch,0,0,1
7654,Mill Creek El Sch,0,0,1
5306,Pine Run El Sch,0,0,1
1042,Tamanend MS,0,1,0
1131,Titus El Sch,0,0,1
7715,Tohickon MS,0,1,0
4678,Unami MS,0,1,0
1132,Warwick El Sch,0,0,1
6646,Cambria El Sch,0,0,1
1208,Central Cambria HS,1,0,0
1202,Central Cambria MS,0,1,0
1205,Jackson El Sch,0,0,1
7201,Central Columbia El Sch,0,0,1
5390,Central Columbia MS,0,1,0
1619,Central Columbia SHS,1,0,0
1744,Central Dauphin East MS,0,1,0
1746,Central Dauphin East SHS,1,0,0
7820,Central Dauphin MS,0,1,0
1745,Central Dauphin SHS,1,0,0
1812,Chambers Hill El Sch,0,0,1
7306,Lawnton El Sch,0,0,1
1777,Linglestown El Sch,0,0,1
6783,Linglestown MS,0,1,0
1791,Middle Paxton El Sch,0,0,1
1782,Mountain View El Sch,0,0,1
1781,North Side El Sch,0,0,1
1795,Paxtang El Sch,0,0,1
1778,Paxtonia El Sch,0,0,1
1779,Phillips El Sch,0,0,1
1811,Rutherford El Sch,0,0,1
1780,South Side El Sch,0,0,1
1742,Swatara MS,0,1,0
5320,Tri-Community El Sch,0,0,1
1817,West Hanover El Sch,0,0,1
2248,McConnellsburg El Sch,0,0,1
6252,McConnellsburg HS,1,0,0
7734,McConnellsburg MS,0,1,0
6010,Miller MS,0,1,0
7476,Waynesburg Central El School,0,0,1
5118,Waynesburg Central HS,1,0,0
0,Central IU 10,0,0,1
4967,Central Montco Technical High School,0,0,1
7720,Central PA Digital Lrng Foundation CS,1,0,0
5094,Central PA Institute of Science & Techno,0,0,1
0,Central Susquehanna IU 16,0,0,1
8045,Center Grange Primary School,1,0,0
8044,Central Valley HS,1,0,0
8043,Central Valley MS,0,1,0
8046,Todd Lane El Sch,0,0,1
6172,Central Westmoreland CTC,0,0,1
4545,Central York HS,1,0,0
4544,Central York MS,0,1,0
4537,Hayshire El Sch,0,0,1
4540,North Hills El Sch,0,0,1
4539,Roundtown El Sch,0,0,1
7696,Sinking Springs El Sch,0,0,1
5088,Stony Brook El Sch,0,0,1
7552,Centre Learning Community CS,1,0,0
8047,Benjamin Chambers El Sch,0,0,1
2192,Buchanan El Sch,0,0,1
8244,Chambersburg Area Career Magnet Sch,0,0,1
2190,Chambersburg Area MS - North,0,1,0
6615,Chambersburg Area MS - South,0,1,0
2191,Chambersburg Area SHS,1,0,0
4825,Falling Spring El Sch,0,0,1
6273,Fayetteville El Sch,0,0,1
2208,Grandview El Sch,0,0,1
2215,Guilford Hills El Sch,0,0,1
6274,Hamilton Heights El Sch,0,0,1
2225,Lurgan El Sch,0,0,1
8375,Marion El Sch,0,0,1
8324,New Franklin El Sch,0,0,1
2209,Scotland El Sch,0,0,1
2216,South Hamilton El Sch,0,0,1
2196,Stevens El Sch,0,0,1
7258,Charleroi Area El Ctr,0,0,1
4715,Charleroi Area HS,1,0,0
7157,Charleroi Area MS,0,1,0
6706,Chartiers Valley HS,1,0,0
7415,Chartiers Valley Intrmd School,0,0,1
94,Chartiers Valley MS,0,1,0
7445,Chartiers Valley Primary Sch,0,0,1
4234,Allison Park El Sch,0,0,1
4235,Chartiers-Houston JSHS,1,0,0
5250,Cedarbrook MS,0,1,0
3250,Cheltenham El Sch,0,0,1
3260,Cheltenham HS,1,0,0
3257,Elkins Park Sch,0,0,1
3256,Glenside El Sch,0,0,1
3252,Myers El Sch,0,0,1
3255,Wyncote El Sch,0,0,1
8258,Chester Charter Scholars Academy CS,1,0,0
7514,Chester Co Family Academy CS,1,0,0
7539,Chester Community CS,1,0,0
0,Chester County IU 24,0,0,1
7292,Chester Co Technical College HS-Brandywi,1,0,0
7860,Chester Co Technical College HS-Pennocks,1,0,0
7293,Chester Co Technical College HS-Pickerin,1,0,0
6492,Chester HS,1,0,0
8020,Chester Upland Sch of Arts,0,0,1
8506,Edgmont Scholars Academy,0,0,1
1958,Main Street Sch,0,0,1
8303,STEM at Showalter,0,0,1
1829,Stetser El Sch,0,0,1
8302,Toby Farms Intermediate School,0,0,1
730,Chestnut Ridge Central El Sch,0,0,1
729,Chestnut Ridge MS,0,1,0
732,Chestnut Ridge SHS,1,0,0
1843,Boothwyn El Sch,0,0,1
7276,Chichester MS,0,1,0
1849,Chichester SHS,1,0,0
5322,Hilltop El Sch,0,0,1
1847,Linwood El Sch,0,0,1
1893,Marcus Hook El Sch,0,0,1
7575,Christopher Columbus CS,1,0,0
8262,Circle of Seasons CS,1,0,0
7727,City CHS,1,0,0
7371,Clairton El Sch,0,0,1
8094,Clairton MS/HS,1,1,0
5217,Clarion Area El Sch,0,0,1
1475,Clarion Area JSHS,1,0,0
6909,Clarion County Career Center,1,0,0
1480,Clarion-Limestone Area JSHS,1,0,0
1479,Clarion-Limestone El Sch,0,0,1
7374,Claysburg-Kimmel El Sch,0,0,1
8498,Claysburg-Kimmel Jr HS,1,0,0
921,Claysburg-Kimmel Sr HS,1,0,0
8315,Clearfield Area El Sch,0,0,1
6236,Clearfield Area JSHS,1,0,0
5276,Clearfield County CTC,0,0,1
1376,Caln El Sch,0,0,1
5012,Coatesville Area SHS,1,0,0
8416,Coatesville Intermediate HS,1,0,0
1374,East Fallowfield El Sch,0,0,1
1375,Kings Highway El Sch,0,0,1
8467,North Brandywine MS,0,1,0
1370,Rainbow El Sch,0,0,1
7334,Reeceville El Sch,0,0,1
7767,Scott MS,0,1,0
2510,Adamstown El Sch,0,0,1
6289,Cocalico MS,0,1,0
6290,Cocalico SHS,1,0,0
2506,Denver El Sch,0,0,1
5053,Reamstown El Sch,0,0,1
7628,Collegium CS,1,0,0
0,Colonial IU 20,0,0,1
7143,Colonial El Sch,0,0,1
5077,Colonial MS,0,1,0
3261,Conshohocken El Sch,0,0,1
4711,Plymouth El Sch,0,0,1
3333,Plymouth-Whitemarsh SHS,1,0,0
3332,Ridge Park El Sch,0,0,1
3411,Whitemarsh El Sch,0,0,1
2515,Columbia HS,1,0,0
8502,Columbia MS Hill Campus,0,1,0
8501,Columbia MS Taylor Campus,0,1,0
7056,Park El Sch,0,0,1
5178,Columbia-Montour AVTS,0,0,1
6122,Commodore Perry JSHS,1,0,0
7450,Commodore Perry Sch,0,0,1
7774,Commonwealth Charter Academy CS,1,0,0
7510,Community Academy of Philadelphia CS,1,0,0
3977,Conemaugh Twp Area El Sch,0,0,1
3978,Conemaugh Twp Area MS/SHS,1,1,0
5213,Conemaugh Valley El Sch,0,0,1
5136,Conemaugh Valley JSHS,1,0,0
2517,Brownstown El Sch,0,0,1
2532,Conestoga Valley SHS,1,0,0
5113,Fritz El Sch,0,0,1
2531,Gerald G Huesken MS,0,1,0
2522,Leola El Sch,0,0,1
2521,Smoketown El Sch,0,0,1
6268,Conewago Twp El Sch,0,0,1
7822,Conewago Valley Intrmd Sch,0,0,1
6267,New Oxford El Sch,0,0,1
6898,New Oxford MS,0,1,0
17,New Oxford SHS,1,0,0
8224,Conneaut Area Senior High,0,0,1
8225,Conneaut Lake MS,0,1,0
6132,Conneaut Lake-Sadsbury El Sch,0,0,1
6133,Conneaut Valley El Sch,0,0,1
8226,Conneaut Valley MS,0,1,0
6643,Connellsville Area Career & Technical Ce,0,0,1
2097,Bullskin El Sch,0,0,1
2105,Connellsville Area MS,0,1,0
5228,Connellsville Area SHS,1,0,0
5048,Dunbar Twp El Sch,0,0,1
2172,Springfield El Sch,0,0,1
4939,West Crawford El Sch,0,0,1
7284,Conrad Weiser East El Sch,0,0,1
777,Conrad Weiser HS,1,0,0
7651,Conrad Weiser MS,0,1,0
5203,Conrad Weiser West El Sch,0,0,1
6944,Cornell El Sch,0,0,1
8087,Cornell HS,1,0,0
4800,Cedar Crest HS,1,0,0
6301,Cedar Crest MS,0,1,0
6302,Cornwall El Sch,0,0,1
2728,Ebenezer El Sch,0,0,1
2729,South Lebanon El Sch,0,0,1
7300,Union Canal El Sch,0,0,1
1998,Corry Area HS,1,0,0
1997,Corry Area Intrmd Sch,0,0,1
7793,Corry Area MS,0,1,0
8311,Corry Area Primary Sch,0,0,1
3868,Coudersport Area El Sch,0,0,1
3869,Coudersport Area JSHS,1,0,0
1088,Churchville El Sch,0,0,1
5096,Council Rock HS North,1,0,0
7749,Council Rock HS South,1,0,0
1086,Goodnoe El Sch,0,0,1
7208,Hillcrest El Sch,0,0,1
4680,Holland El Sch,0,0,1
8447,Holland MS,0,1,0
7657,Maureen M Welch El Sch,0,0,1
7432,Newtown El Sch,0,0,1
